Box | [bɒks] | Коробка, ящик
Seventy | [ˈsɛvnti] | 70
Eighty | [ˈeɪti] | 80
Ninety | [ˈnaɪnti] | 90
A one hundred | [ə] [wʌn] [ˈhʌndrəd] | 100
Old | [əʊld] | Старый, старинный
High | [haɪ] | Высокий
Level | [ˈlɛvl] | Уровень
Such | [sʌʧ] | Такой, такие
Meeting | [ˈmiːtɪŋ] | Встреча, совещание
Meet | [miːt] | Встречаться, соответствовать
Popular | [ˈpɒpjʊlə] | Популярный
Professional | [prəˈfɛʃənl] | Профессиональный
Clever | [ˈklɛvə] | Умный
Talent | [ˈtælənt] | Талант
Talented | [ˈtæləntɪd] | Талантливый
Boy | [bɔɪ] | Мальчик
Effective | [ɪˈfɛktɪv] | Эффективный
Woman | [ˈwʊmən] | Женщина
Wise | [waɪz] | Мудрый
Low | [ləʊ] | Низкий, небольшой
Detail | [ˈdiːteɪl] | Деталь, подробность, подробный
Small | [smɔːl] | Небольшой, маленький
Small mistake | [smɔːl] [mɪsˈteɪk] | Маленькая ошибка
In the world | [ɪn] [ðə] [wɜːld] | В мире
World | [wɜːld] | Мир, мировой
Example | [ɪgˈzɑːmpl] | Пример, образец
Expensive | [ɪksˈpɛnsɪv] | Дорогой
Cheap | [ʧiːp] | Дёшево, дешёвый
Cold | [kəʊld] | Холод, холодный
Warm | [wɔːm] | Тёплый
Hot | [hɒt] | Жаркий, горячий
Rain | [reɪn] | Дождь, дождевой
Rainy | [ˈreɪni] | Дождливый
Sun | [sʌn] | Солнце
Sunny | [ˈsʌni] | Солнечно, солнечный
Dark | [dɑːk] | Темно, тёмный
Wonderful | [ˈwʌndəfʊl] | Чудесный, замечательный
Obvious | [ˈɒbvɪəs] | Очевидный, ясный
Simple | [ˈsɪmpl] | Простой
Impossible | [ɪmˈpɒsəbl] | Невозможное, невозможно
Ready | [ˈrɛdi] | Готовый
Fine | [faɪn] | Штраф, штрафовать, хорошо, прекрасно, прекрасный
On the left | [ɒn] [ðə] [lɛft] | Слева
On the right | [ɒn] [ðə] [raɪt] | Справа
Better | [ˈbɛtə] | Лучше
Worse | [wɜːs] | Хуже, худший
Young | [jʌŋ] | Молодой
Man | [mæn] | Человек, мужчина
Girl | [gɜːl] | Девушка, девочка
At home | [æt] [həʊm] | Дома
At work | [æt] [wɜːk] | На работе
At school | [æt] [skuːl] | В школе
In the park | [ɪn] [ðə] [pɑːk] | В парке
Be | [biː] | Быть
Sure | [ʃʊə] | Уверенный, конечно
Good | [gʊd] | Хорошо, хороший
Rich | [rɪʧ] | Богатый, богатство
Poor | [pʊə] | Бедный, беднота
Lazy | [ˈleɪzi] | Ленивый
Husband | [ˈhʌzbənd] | Муж, супруг
Wife | [waɪf] | Жена
Bad | [bæd] | Плохой, дурной
Ask | [ɑːsk] | Просить, спрашивать
Theater | [ˈθɪətə] | Театр, кинотеатр
Let | [lɛt] | Позволять
Let's | [lɛts] | Давайте, давай
Go to the theater | [gəʊ] [tuː] [ðə] [ˈθɪətə] | Пойти в театр
Talk | [tɔːk] | Говорить, разговаривать, болтать
Let's do it | [lɛts] [duː] [ɪt] | Давай сделаем это
Homework | [ˈhəʊmˌwɜːk] | Домашнее задание, домашняя работа
Housework | [ˈhaʊswɜːk] | Домашние дела
Online | [ˈɒnˌlaɪn] | Онлайн
Mention | [ˈmɛnʃən] | Упоминать, упоминание
With great pleasure | [wɪð] [greɪt] [ˈplɛʒə] | С большим удовольствием
Great | [greɪt] | Большой, отличный, великолепный
Pleasure | [ˈplɛʒə] | Удовольствие, наслаждение
Share | [ʃeə] | Делиться, разделять
Point | [pɔɪnt] | Точка, балл, пункт, момент
View | [vjuː] | Вид, мнение
Inspire | [ɪnˈspaɪə]  | Вдохновлять
Do business | [duː] [ˈbɪznɪs] | Заниматься бизнесом
Travel | [ˈtrævl] | Путешествовать, ездить
Criticize | [ˈkrɪtɪsaɪz] | Критиковать, осуждать
Promise | [ˈprɒmɪs] | Обещание, обещать
Give | [gɪv] | Давать, предоставлять
Business | [ˈbɪznɪs] | Бизнес, дело
Complain | [kəmˈpleɪn] | Жаловаться, пожаловаться
So often | [səʊ] [ˈɒf(ə)n] | Так часто
Refuse | [ˌriːˈfjuːz] | Мусор, отходы, отказываться
Add | [æd] | Добавлять
Test | [tɛst] | Контрольная работа, тест, испытание, тестировать, проверять
Worry | [ˈwʌri] | Волновать, беспокоить
Movie | [ˈmuːvi] | Кино, кинофильм
Or | [ɔː] | Или
Leave | [liːv] | Уехать, уйти
Leave home | [liːv] [həʊm] | Уйти из дома
Go to the zoo | [gəʊ] [tuː] [ðə] [zuː] | Пойти в зоопарк
Zoo | [zuː] | Зоопарк
How long | [haʊ] [lɒŋ] | Как долго
Long | [lɒŋ] | Долго, длинный
Take | [teɪk] | Взять, принять
Where | [weə] | Где, куда
Why | [waɪ] | Почему
Spend | [spɛnd] | Тратить, проводить
Together | [təˈgɛðə] | Вместе, одновременно
What | [wɒt] | Что, какой
How | [haʊ] | Как
Get | [gɛt] | Получать, попасть, добираться
Get to work | [gɛt] [tuː] [wɜːk] | Добираться до работы
When | [wɛn] | Когда
Who | [huː] | Кого, кто
Kind | [kaɪnd] | Добрый, вид, тип
Sort | [sɔːt] | Сортировать, вид, тип
Prefer | [priˈfɜː] | Предпочитать, предпочтительный
What kind of | [wɒt] [kaɪnd] [ɒv] | Какого рода...
What time | [wɒt] [taɪm] | В какое время
Get up | [gɛt] [ʌp] | Вставать, подниматься
Go to bed | [gəʊ] [tuː] [bɛd] | Ложиться спать
Bed | [bɛd] | Кровать, постель
Control | [kənˈtrəʊl] | Контроль, управление, контролировать, управлять
Situation | [ˌsɪtjʊˈeɪʃən] | Ситуация, положение
God | [gɒd] | Бог, божество
Exercise | [ˈɛksəsaɪz] | Упражнение, осуществление, осуществлять, проявлять
Depend on you | [dɪˈpɛnd] [ɒn] [juː] | Зависеть от тебя
Depend | [dɪˈpɛnd] | Зависеть, полагаться
Useless | [ˈjuːslɪs] | Бесполезный
Important | [ɪmˈpɔːtənt] | Важный
Unimportant | [ˌʌnɪmˈpɒtənt] | Неважный
Exam | [ɪgˈzæm] | Экзамен
Difficult | [ˈdɪfɪkəlt] | Трудный
Easy | [ˈiːzi] | Легко, лёгкий
Truth | [truːθ] | Правда, истина
All the truth | [ɔːl] [ðə] [truːθ] | Вся правда
Student | [ˈstjuːdənt] | Студент
Excellent | [ˈɛksələnt] | Отличный, превосходный, великолепный
Excellent results | [ˈɛksələnt] [rɪˈzʌlts] | Отличные результаты
Brilliant | [ˈbrɪljənt] | Блестящий, выдающийся, бриллиант
Ignore | [ɪgˈnɔː] | Игнорировать, пренебрегать
Hate | [heɪt] | Ненависть, ненавидеть
Look for a job | [lʊk] [fɔːr] [ə] [ʤɒb] | Искать работу
Come there | [kʌm] [ðeə] | Прийти туда
Hear | [hɪə] | Слышать, услышать
Radio | [ˈreɪdɪəʊ] | Радио, радиоприёмник
Listen to the radio | [ˈlɪsn] [tuː] [ðə] [ˈreɪdɪəʊ] | Слушать радио
Project | [ˈprɒʤɛkt] | Проект, проецировать, проектировать
Profession | [prəˈfɛʃən] | Профессия
Boring | [ˈbɔːrɪŋ] | Скучный, буровой, бурение, сверление
Show | [ʃəʊ] | Шоу, показывать
Result | [rɪˈzʌlt] | Результат, следствие
Free | [friː] | Бесплатный, свободный
Free time | [friː] [taɪm] | Свободное время
Song | [sɒŋ] | Песня, пение
Classical | [ˈklæsɪkəl] | Классический
Music | [ˈmjuːzɪk] | Музыка
Listen | [ˈlɪsn] | Слушать
Use | [juːz] | Использовать
Internet | [ˈɪntəˌnɛt] | Интернет
Gym | [ʤɪm] | Спортзал, гимнастический зал
Enough | [ɪˈnʌf] | Достаточно, достаточное количество
Knowledge | [ˈnɒlɪʤ] | Знание, знания
Article | [ˈɑːtɪkl] | Статья, артикль
Beautiful | [ˈbjuːtəfʊl] | Прекрасный, красивый
Possible | [ˈpɒsəbl] | Возможно, возможный
Soon | [suːn] | Скоро, вскоре
As soon as possible | [æz] [suːn] [æz] [ˈpɒsəbl] | Как можно скорее
Memory | [ˈmɛməri] | Память
Train | [treɪn] | Поезд, тренировать
Regularly | [ˈrɛgjʊləli] | Регулярно
Pay | [peɪ] | Платить, заплатить
Pay for her | [peɪ] [fɔː] [hɜː] | Платить за неё
From time to time | [frɒm] [taɪm] [tuː] [taɪm] | Время от времени
Many | [ˈmɛni] | Много, множество, многие
Spanish | [ˈspænɪʃ] | Испанский, испанский язык
Order | [ˈɔːdə] | Заказ, приказ, порядок, орден, заказывать
Food | [fuːd] | Еда, питание
Question | [ˈkwɛsʧən] | Вопрос, сомнение, сомневаться, допрашивать
Motivate | [ˈməʊtɪveɪt] | Мотивировать, побуждать
Explain | [ɪksˈpleɪn] | Объяснять, разъяснять
Need | [niːd] | Необходимость, нуждаться
Harder | [ˈhɑːdə] | Труднее, усерднее
Solve | [sɒlv] | Решать, разрешать
At all | [æt] [ɔːl] | Вообще, совершенно
Any | [ˈɛni] | Любой
Advice | [ədˈvaɪs] | Совет, консультация
Less | [lɛs] | Меньше, менее, меньшее количество
Solve this problem | [sɒlv] [ðɪs] [ˈprɒbləm] | Решить эту проблему
Interest | [ˈɪntrɪst] | Интересовать, заинтересовать, интерес
Attract | [əˈtrækt] | Привлекать, притягивать
Future | [ˈfjuːʧə] | Будущее, будущий
Recommend | [ˌrɛkəˈmɛnd] | Рекомендовать
Son | [sʌn] | Сын
Daughter | [ˈdɔːtə] | Дочь, дочерний
Change | [ʧeɪnʤ] | Изменять
Life | [laɪf] | Жизнь, продолжительность жизни, срок службы
Partner | [ˈpɑːtnə] | Партнёр, напарник, соучастник
My friend and I | [maɪ] [frɛnd] [ænd] [aɪ] | Мы с моим другом
Them | [ðɛm] | Им (звоним им, например)
Call | [kɔːl] | Вызов, требование, соединение, называть
Believe | [bɪˈliːv] | Полагать, верить
Us | [ʌs] | Нам (не верит нам, например)
Bring | [brɪŋ] | Приносить, приводить
People | [ˈpiːpl] | Люди, народ, население
Happiness | [ˈhæpɪnɪs] | Счастье
Make | [meɪk] | Марка, делать, совершать
Late | [leɪt] | Поздно, поздний, покойный
Negative | [ˈnɛgətɪv] | Отрицательный, негативный, негатив
Agree | [əˈgriː] | Соглашаться, договариваться
Disagree | [ˌdɪsəˈgriː] | Не соглашаться, противоречить
Discuss | [dɪsˈkʌs] | Обсуждать
I don't know | [aɪ] [dəʊnt] [nəʊ] | Я не знаю
Later | [ˈleɪtə] | Позже, позднее, более поздний
Tell | [tɛl] | Говорить, сказать, рассказывать
About | [əˈbaʊt] | Об, насчёт
Problem | [ˈprɒbləm] | Проблема, задача, вопрос, проблемный
Like | [laɪk] | Подобно, вроде, словно, нравиться, так, как будто
Video | [ˈvɪdɪəʊ] | Видео
Playlist | [ˈpleɪˌlɪst] | Плейлист
Channel | [ˈʧænl] | Канал
Method | [ˈmɛθəd] | Метод, способ, методика, приём
Too | [tuː] | Тоже, слишком, очень, чересчур
Hotel | [həʊˈtɛl] | Отель, гостиница
Would | [wʊd] | Бы
Of | [ɒv] | Предлог принадлежности
Cup | [kʌp] | Чашка, чаша, кубок
Tea | [tiː] | Чай
Coffee | [ˈkɒfi] | Кофе, кофейный
Drink | [drɪŋk] | Напиток, глоток, пить
Visit | [ˈvɪzɪt] | Визит, поездка, посещать, побывать
Become | [bɪˈkʌm] | Становиться
Businessman | [ˈbɪznɪsmən] | Бизнесмен, коммерсант, деловой человек
Teacher | [ˈtiːʧə] | Учитель, преподаватель
Doctor | [ˈdɒktə] | Доктор, врач
Manager | [ˈmænɪʤə] | Менеджер, руководитель, администратор, заведующий
Dress | [drɛs] | Платье, одежда, одевать, одеваться
Step | [stɛp] | Шаг
Step by step | [stɛp] [baɪ] [stɛp] | Шаг за шагом
Flat | [flæt] | Плоский, плашмя, плоско, бемоль, квартира
Apartment | [əˈpɑːtmənt] | Квартира, апартамент
Improve | [ɪmˈpruːv] | Улучшать, совершенствовать
Better | [ˈbɛtə] | Лучше
Without | [wɪˈðaʊt] | Без
Grammar | [ˈgræmə] | Грамматика
Correct | [kəˈrɛkt] | Правильный, корректный, верный, исправлять, корректировать
Correctly | [kəˈrɛktli] | Правильно, корректно
Fast | [fɑːst] | Быстрый, быстро, поститься, голодать, пост
Be | [biː] | Быть
Right | [raɪt] | Право, правый, верно, правильный, непосредственно
Right now | [raɪt] [naʊ] | Прямо сейчас
Buy | [baɪ] | Купить, покупать, покупка
Fluently | [ˈflu(ː)əntli] | Бегло, плавно, гладко
Time | [taɪm] | Время, раз, срок
One more time | [wʌn] [mɔː] [taɪm] | Ещё один раз
Speak English fluently | [spiːk] [ˈɪŋglɪʃ] [ˈflu(ː)əntli] | Свободно говорить по-английски
Again | [əˈgɛn] | Снова, опять, вновь, ещё раз
Abroad | [əˈbrɔːd] | За границей, за границу
Another | [əˈnʌðə] | Другой, иной, ещё один
Thank | [θæŋk] | Благодарить
Thank you | [θæŋk] [juː] | Спасибо, благодарю
Thanks a lot | [θæŋks] [ə] [lɒt] | Большое спасибо
Thank you very much | [θæŋk] [juː] [ˈvɛri] [mʌʧ] | Большое Вам спасибо
Thanks a million | [θæŋks] [ə] [ˈmɪljən] | Бесконечно благодарен
Town | [taʊn] | Город, городок, городской
Sentence | [ˈsɛntəns] | Приговорить, приговаривать, приговор, предложение (в тексте)
Book | [bʊk] | Книга, книжка
Work | [wɜːk] | Работать, работа, труд, произведение, дело
Here | [hɪə] | Здесь
Study | [ˈstʌdi] | Учиться (в университете)
Understand | [ˌʌndəˈstænd] | Понять, понимать
Know | [nəʊ] | Знать
It | [ɪt] | Это
Well | [wɛl] | Хорошо, вполне, правильно, отлично, колодец, скважина, частица «Ну»
Very | [ˈvɛri] | Очень, самый
Live | [lɪv] | Реальный, живой, жить, в прямом эфире
Speak | [spiːk] | Говорить, выступать, разговаривать
Go | [gəʊ] | Идти, ехать, ходить, ездить
School | [skuːl] | Школа, школьный, учебный
To | [tuː] | Предлог направления (действие совершается в каком-либо направлении)
Have | [hæv] | Иметь, обладать
Idea | [aɪˈdɪə] | Идея, представление, мысль, понятие
Sister | [ˈsɪstə] | Сестра, сестрёнка
Car | [kɑː] | Автомобиль, машина, вагон, легковой автомобиль
Think | [θɪŋk] | Думать, мыслить
So | [səʊ] | Так, настолько, таким образом, столь, очень, поэтому, так что, чтобы
See | [siː] | Увидеть, смотреть, видеть, посмотреть, престол
Want | [wɒnt] | Нуждаться, хотеть
Remember | [rɪˈmɛmbə] | Помнить
Help | [hɛlp] | Помощь, помогать, способствовать
This | [ðɪs] | Это, этот, эта
City | [ˈsɪti] | Город, городской
Country | [ˈkʌntri] | Страна, загородный
Love | [lʌv] | Любовь, любить
Hard | [hɑːd] | Жёсткий, трудный, упорно, тяжело, жёстко
Very hard | [ˈvɛri] [hɑːd] | Очень усердно (работаешь, например)
There | [ðeə] | Там, туда, здесь, тут
Feel | [fiːl] | Чувствовать, почувствовать, ощущать, испытывать
Also | [ˈɔːlsəʊ] | Также, тоже
Happy | [ˈhæpi] | Счастливый
House | [haʊs] | Дом, жилище, театр, здание
Place | [pleɪs] | Место, размещать, помещать
Really | [ˈrɪəli] | Действительно, на самом деле, в самом деле, уж
Look | [lʊk] | Вид, взгляд, внешность, посмотреть, выглядеть, поискать
Interesting | [ˈɪntrɪstɪŋ] | Интересный
Seem | [siːm] | Казаться, мерещиться
Read | [riːd] | Читать, прочесть, считывать, чтение
Strange | [streɪnʤ] | Странный, чужой
He knows it | [hiː] [nəʊz] [ɪt] | Он знает это
Mistake | [mɪsˈteɪk] | Ошибка, заблуждение
Happen | [ˈhæpən] | Происходить, случаться
More | [mɔː] | Более, больше, ещё
Practice | [ˈpræktɪs] | Практика, опыт, тренировка, практиковать, заниматься
That | [ðæt] | Что, чтобы, то, тот, который
Do | [duː] | Делать, выполнять, заниматься
Every | [ˈɛvri] | Каждый, все, всякий любой
Day | [deɪ] | День, сутки, время, дневной
Cinema | [ˈsɪnəmə] | Кино, кинотеатр, кинематограф
Park | [pɑːk] | Парк, парковать
Often | [ˈɒf(ə)n] | Часто, зачастую
Dog | [dɒg] | Собака, пёс, собачка, кобель
Cat | [kæt] | Кошка, кот, кат
Money | [ˈmʌni] | Деньги
Dollar | [ˈdɒlə] | Доллар
Offer | [ˈɒfə] | Предложение, предлагать
Watch | [wɒʧ] | Часы, вахта, наблюдение, дозор, смотреть, наблюдать
TV | [ˌtiːˈviː] | Телевидение, телевизор
Television | [ˈtɛlɪˌvɪʒən] | Телевидение
Teach | [tiːʧ] | Учить, научить, преподавать, обучать
Miss | [mɪs] | Мисс, промах, скучать, пропускать
Miss you | [mɪs] [juː] | Скучать по тебе
Always | [ˈɔːlweɪz] | Всегда, постоянно, вечно
Finish | [ˈfɪnɪʃ] | Отделка, конец, финиш, окончание, финишировать, заканчивать
His | [hɪz] | Его, свой, своё
On time | [ɒn] [taɪm] | Вовремя
Usually | [ˈjuːʒʊəli] | Обычно, как правило, обыкновенно
Relax | [rɪˈlæks] | Отдыхать, расслабляться
At home | [æt] [həʊm] | Дома, у себя
Rest | [rɛst] | Отдых, остальное, остаток, покой, отдыхать
Have a rest | [hæv] [ə] [rɛst] | Отдохнуть
Try | [traɪ] | Попытка, попытаться, стараться, пробовать
Learn | [lɜːn] | Учиться, научиться, учить, узнавать
Find | [faɪnd] | Находка, находить
Job | [ʤɒb] | Работа, задание
Find a job | [faɪnd] [ə] [ʤɒb] | Найти работу
Play | [pleɪ] | Игра, пьеса, спектакль, играть
Computer | [kəmˈpjuːtə] | Компьютер, ЭВМ, ПК, компьютерный
Game | [geɪm] | Игра, партия, игровой
Lesson | [ˈlɛsn] | Урок
These | [ðiːz] | Эти
Useful | [ˈjuːsfʊl] | Полезный
Your | [jɔː] | Ваш, твой
Brother | [ˈbrʌðə] | Брат
Parent | [ˈpeərənt] | Родительский, исходный, родитель
Parents | [ˈpeərənts] | Родители
Friend | [frɛnd] | Друг
My | [maɪ] | Мой (начальник, например)
Boss | [bɒs] | Босс, хозяин, шеф, руководитель, выступ
Everything | [ˈɛvrɪθɪŋ] | Всё (знать всё например)
All | [ɔːl] | Все (документы, например)
Documents | [ˈdɒkjʊmənts] | Документы
Check | [ʧɛk] | Проверка, чек, контроль, проверять, контролировать
Information | [ˌɪnfəˈmeɪʃən] | Информация, сведения, данные
Our | [ˈaʊə] | Наши, наш, наша, наше
Mother | [ˈmʌðə] | Мать, мама
The same | [ðə] [seɪm] | Одинаковый, так же
Their | [ðeə] | Их, свои
Father | [ˈfɑːðə] | Отец
Her | [hɜː] | Её, свой
Say | [seɪ] | Скачать
Its | [ɪts] | Его / её
Company | [ˈkʌmpəni] | Компания
Profit | [ˈprɒfɪt] | Прибыль, выгода, доход, польза
Big | [bɪg] | Большой, крупный
Girlfriend | [ˈgɜːlˌfrɛnd] | Девушка, подруга
Boyfriend | [ˈbɔɪˌfrɛnd] | Парень, дружок
Much | [mʌʧ] | Много, многое, гораздо, очень
Support | [səˈpɔːt] | Поддержка, помощь, опора, поддерживать
Best | [bɛst] | Лучший, лучше всего
Come | [kʌm] | Приходить
Come to work | [kʌm] [tuː] [wɜːk] | Приходить на работу
Early | [ˈɜːli] | Рано, преждевременно, ранний
Come home | [kʌm] [həʊm] | Прийти домой
Go home | [gəʊ] [həʊm] | Пойти домой
Family | [ˈfæmɪli] | Семья
Thing | [θɪŋ] | Вещь, предмет, дело, штука
Person | [ˈpɜːsn] | Человек, лицо, личность
Those | [ðəʊz] | Тех, те
Word | [wɜːd] | Слово
Success | [səkˈsɛs] | Успех, удача
